x,y,z,t,u,v,w,p,d,dx,dy,dz
0.0048958992,-0.001007277,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0049726,-0.0005225871,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0048665591,-0.0011327368,0.0003221367,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0048963085,0.0010046906,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0049726,0.0005225871,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0048664509,0.0011331464,0.0496799925,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0010135226,-0.0048948158,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0005225731,-0.0049726,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0011226682,-0.0048691538,0.049680643,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0010141994,0.0048947085,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0005225731,0.0049726,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0011197737,0.004869944,0.0003132974,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0015284355,-0.0047597628,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0015230843,0.0047611958,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0047626433,-0.0015176994,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0047613865,0.0015223891,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.001545,-0.0047553,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0020337,-0.0045677,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0015416,-0.0047564,0.0496792,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.001545,0.0047553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0020337,0.0045677,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0015412233,0.0047565198,0.0003358517,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0047553,0.001545,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0045678,0.0020336,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0047563,0.001542,0.0496793,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0047553,-0.001545,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0045678,-0.0020336,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0047564236,-0.0015415763,0.0003423175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0020338,0.0045677,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0015451,0.0047553,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0020750868,0.0045469257,0.0496328166,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0045677,-0.0020337,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0047589726,-0.0015313963,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0045647,-0.0020404,0.0496747,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0045677,0.0020337,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0047589466,0.001531493,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0045647,0.0020404,0.0003253073,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0020338,-0.0045677,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0015451,-0.0047553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0020737756,-0.0045475974,0.000365752,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0043301,-0.0025,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0043270649,-0.0025045804,0.0003563324,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0043301,0.0025,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.00432743,0.0025038441,0.0496512508,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0025,0.0043301,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0025039693,0.0043273582,0.0003432563,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0025,-0.0043301,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0025039675,-0.0043273587,0.0496570491,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0048908,0.0010395,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0048908,-0.0010395,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0010395,-0.0048907,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0010395,0.0048907,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0020338,-0.0045677,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0020405815,-0.0045645436,0.0496573361,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0045677,0.0020337,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0045656809,0.0020380542,0.0496574549,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0045677,-0.0020337,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0045656101,-0.0020382375,0.0003407161,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0020338,0.0045677,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0020415803,0.0045640337,0.0003411614,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0048908,0.0010395,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0047553,0.001545,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0047551,0.0015456,0.0003261584,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0048908,-0.0010395,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0047553,-0.001545,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0047551522,-0.0015454303,0.0496542505,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0010395,0.0048907,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.001545,0.0047553,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0015451941,0.0047552321,0.0496591719,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0010395,-0.0048907,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.001545,-0.0047553,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0015453,-0.0047552,0.0003262385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0020337,0.0045677,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0020337,-0.0045677,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0045678,0.0020336,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0045678,-0.0020336,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0049726,0.0005226478,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0049726,0.0005226048,0.0496723,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.005,0.0,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0049726,-0.0005226478,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0049726,-0.0005226048,0.0003277039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.005,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.005,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0049726,0.0005226478,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.00497061,0.0005357369,0.0003362849,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.005,0.0,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0049726,-0.0005226478,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0049725797,-0.0005224358,0.0496561749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.000522642,-0.0049726,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0005181046,-0.0049728933,0.0496511633,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.000522642,0.0049726,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0005179923,0.0049729134,0.0003527405,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0025001,0.0043301,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0043301,-0.0025001,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0043301,0.0025001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0025001,-0.0043301,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.000522642,0.0049726,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0005175663,0.0049730573,0.0496468993,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.000522642,-0.0049726,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0005178763,-0.004973008,0.0003518085,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0025001,-0.0043301,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0043301,0.0025001,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0043301,-0.0025001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0025001,0.0043301,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0043301,0.0025,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0043271099,0.0025048502,0.0003517202,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0043301,-0.0025,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0043256,-0.0025078,0.0496616,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0025,-0.0043301,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.002505044,-0.0043270115,0.0003576325,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0025,0.0043301,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0025049729,0.0043270475,0.0496456012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0040451,0.002939,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0040419361,0.0029431268,0.0003524516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0029389,-0.0040451,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0029441,-0.0040413,0.0003384917,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0040451,-0.002939,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0040419693,-0.0029430767,0.0496437284,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0029389,0.0040451,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0029441,0.0040413,0.0496615,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0040451,-0.002939,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0040418,-0.0029434,0.0003381534,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0029389,0.0040451,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0029423078,0.0040425139,0.0003580243,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0040451,0.002939,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0040426055,0.0029421669,0.0496428693,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0029389,-0.0040451,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0029421684,-0.0040426041,0.0496453754,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0040451,-0.002939,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.002939,0.0040451,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.0040451,0.002939,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-0.002939,-0.0040451,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.84e-08,0.005,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6.84e-08,-0.005,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-6.84e-08,-0.005,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-6.84e-08,0.005,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0037157,-0.0033457,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0037157,0.0033457,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0033456,0.0037158,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
