x,y,z,t,u,v,w,p,d,dx,dy,dz,eta
0.0048958992,-0.001007277,0.0,0.0025,0.0,0.0,0.0,359.8957,0.0,0.0,0.0,0.0,0.0
0.0049726,-0.0005225871,0.0,0.0025,-1.64e-08,-1.165e-07,0.0,353.2294,1.000000013351432e-10,0.0,1.000000013351432e-10,0.0,-1.0451772260167136e-11
0.0048665591,-0.0011327368,0.0003221367,0.0025,-0.0064080518,0.0016432822,0.0,470.0581,5.0027606448566075e-06,4.863300091528799e-06,-1.1729999869203311e-06,0.0,5.0026014414986456e-06
0.0048963085,0.0010046906,0.05,0.0025,0.0,0.0,0.0,0.003888694,0.0,0.0,0.0,0.0,0.0
0.0049726,0.0005225871,0.05,0.0025,0.0,0.0,0.0,0.004469446,0.0,0.0,0.0,0.0,0.0
0.0048664509,0.0011331464,0.0496799925,0.0025,-3.349e-07,-7.76e-08,0.0,0.005127171,1.414213607331405e-10,-1.000000013351432e-10,-1.000000013351432e-10,0.0,-1.200727460168305e-10
0.0010135226,-0.0048948158,0.05,0.0025,0.0,0.0,0.0,0.004058946,0.0,0.0,0.0,0.0,0.0
0.0005225731,-0.0049726,0.05,0.0025,0.0,0.0,0.0,0.0009622688,0.0,0.0,0.0,0.0,0.0
0.0011226682,-0.0048691538,0.049680643,0.0025,-6.32e-08,3.218e-07,0.0,0.00464315,1.000000013351432e-10,0.0,1.000000013351432e-10,0.0,-9.74434257242085e-11
0.0010141994,0.0048947085,0.0,0.0025,0.0,0.0,0.0,359.3291,0.0,0.0,0.0,0.0,0.0
0.0005225731,0.0049726,0.0,0.0025,0.0,0.0,0.0,358.0086,0.0,0.0,0.0,0.0,0.0
0.0011197737,0.004869944,0.0003132974,0.0025,-0.0015126207,-0.0062245238,0.0,445.825,4.787455964105902e-06,1.100299982681463e-06,4.659299975173781e-06,0.0,4.78737305086626e-06
0.0015284355,-0.0047597628,0.05,0.0025,0.0,0.0,0.0,0.005289541,0.0,0.0,0.0,0.0,0.0
0.0015230843,0.0047611958,0.0,0.0025,0.0,0.0,0.0,365.9401,0.0,0.0,0.0,0.0,0.0
0.0047626433,-0.0015176994,0.0,0.0025,0.0,0.0,0.0,366.4089,0.0,0.0,0.0,0.0,0.0
0.0047613865,0.0015223891,0.05,0.0025,0.0,0.0,0.0,0.004882352,0.0,0.0,0.0,0.0,0.0
-0.001545,-0.0047553,0.05,0.0025,-0.0,0.0,0.0,0.002515825,0.0,0.0,0.0,0.0,0.0
-0.0020337,-0.0045677,0.05,0.0025,0.0,0.0,0.0,0.00113408,0.0,0.0,0.0,0.0,0.0
-0.0015416,-0.0047564,0.0496792,0.0025,1.078e-07,2.785e-07,0.0,0.005695299,1.000000013351432e-10,0.0,1.000000013351432e-10,0.0,-9.512824469121162e-11
-0.001545,0.0047553,0.0,0.0025,-1.86e-07,-5.58e-08,0.0,394.4361,1.000000013351432e-10,1.000000013351432e-10,0.0,0.0,-3.0900059420913006e-11
-0.0020337,0.0045677,0.0,0.0025,0.0,0.0,0.0,384.6084,0.0,0.0,0.0,0.0,0.0
-0.0015412233,0.0047565198,0.0003358517,0.0025,0.0019969836,-0.006342566,0.0,438.7319,5.208338734519202e-06,-1.6408999954364845e-06,4.943100066157058e-06,0.0,5.208205044695234e-06
-0.0047553,0.001545,0.05,0.0025,0.0,0.0,0.0,0.003141371,0.0,0.0,0.0,0.0,0.0
-0.0045678,0.0020336,0.05,0.0025,0.0,0.0,0.0,0.0057402,0.0,0.0,0.0,0.0,0.0
-0.0047563,0.001542,0.0496793,0.0025,2.789e-07,-8.06e-08,0.0,0.006318652,1.000000013351432e-10,1.000000013351432e-10,0.0,0.0,-9.512570679076626e-11
-0.0047553,-0.001545,0.0,0.0025,4.94e-08,-1.93e-07,0.0,380.4695,1.000000013351432e-10,0.0,1.000000013351432e-10,0.0,-3.0900059420913006e-11
-0.0045678,-0.0020336,0.0,0.0025,0.0,0.0,0.0,333.8657,0.0,0.0,0.0,0.0,0.0
-0.0047564236,-0.0015415763,0.0003423175,0.0025,0.0064850692,0.0021623465,0.0,427.9064,5.3480475799005944e-06,-5.079699803900439e-06,-1.6727999536669813e-06,0.0,5.347988367475701e-06
-0.0020338,0.0045677,0.05,0.0025,0.0,0.0,0.0,0.003188624,0.0,0.0,0.0,0.0,0.0
-0.0015451,0.0047553,0.05,0.0025,0.0,0.0,0.0,0.001179647,0.0,0.0,0.0,0.0,0.0
-0.0020750868,0.0045469257,0.0496328166,0.0025,1.162e-07,-2.852e-07,0.0,0.005005936,1.000000013351432e-10,0.0,-1.000000013351432e-10,0.0,-9.097396707485883e-11
-0.0045677,-0.0020337,0.05,0.0025,0.0,0.0,0.0,0.004614966,0.0,0.0,0.0,0.0,0.0
-0.0047589726,-0.0015313963,0.05,0.0025,0.0,0.0,0.0,0.004166069,0.0,0.0,0.0,0.0,0.0
-0.0045647,-0.0020404,0.0496747,0.0025,2.907e-07,1.489e-07,0.0,0.004915895,1.000000013351432e-10,1.000000013351432e-10,0.0,0.0,-9.129451361555851e-11
-0.0045677,0.0020337,0.0,0.0025,0.0,0.0,0.0,373.8469,0.0,0.0,0.0,0.0,0.0
-0.0047589466,0.001531493,0.0,0.0025,0.0,0.0,0.0,365.0287,0.0,0.0,0.0,0.0,0.0
-0.0045647,0.0020404,0.0003253073,0.0025,0.0060089644,-0.0026603524,0.0,446.9621,5.0047797230945434e-06,-4.5839001359127e-06,2.00890008272836e-06,0.0,5.00464591303082e-06
-0.0020338,-0.0045677,0.0,0.0025,0.0,0.0,0.0,399.5655,0.0,0.0,0.0,0.0,0.0
-0.0015451,-0.0047553,0.0,0.0025,0.0,0.0,0.0,343.1489,0.0,0.0,0.0,0.0,0.0
-0.0020737756,-0.0045475974,0.000365752,0.0025,0.0032136252,0.0067992864,0.0,456.6061,5.684843472408829e-06,-2.4046998987614643e-06,-5.151200184627669e-06,0.0,5.684617895608535e-06
-0.0043301,-0.0025,0.0,0.0025,0.0,0.0,0.0,351.402,0.0,0.0,0.0,0.0,0.0
-0.0043270649,-0.0025045804,0.0003563324,0.0025,0.0062125641,0.0036804102,0.0,407.7811,5.582556696026586e-06,-4.8367000999860466e-06,-2.7876999411091674e-06,0.0,5.582547163197199e-06
-0.0043301,0.0025,0.05,0.0025,0.0,0.0,0.0,0.003003512,0.0,0.0,0.0,0.0,0.0
-0.00432743,0.0025038441,0.0496512508,0.0025,2.965e-07,-1.639e-07,0.0,0.006322636,1.414213607331405e-10,1.000000013351432e-10,-1.000000013351432e-10,0.0,-1.3663672623898115e-10
-0.0025,0.0043301,0.0,0.0025,0.0,0.0,0.0,349.5288,0.0,0.0,0.0,0.0,0.0
-0.0025039693,0.0043273582,0.0003432563,0.0025,0.0033877959,-0.0058636193,0.0,405.4788,5.332524324330734e-06,-2.6718000754044624e-06,4.614899808075279e-06,0.0,5.33252432531172e-06
-0.0025,-0.0043301,0.05,0.0025,0.0,0.0,0.0,0.00269684,0.0,0.0,0.0,0.0,0.0
-0.0025039675,-0.0043273587,0.0496570491,0.0025,1.792e-07,2.994e-07,0.0,0.006225667,1.414213607331405e-10,1.000000013351432e-10,1.000000013351432e-10,0.0,-1.3663776447098153e-10
-0.0048908,0.0010395,0.05,0.0025,0.0,0.0,0.0,0.005145987,0.0,0.0,0.0,0.0,0.0
-0.0048908,-0.0010395,0.0,0.0025,0.0,0.0,0.0,365.6002,0.0,0.0,0.0,0.0,0.0
-0.0010395,-0.0048907,0.05,0.0025,-0.0,0.0,0.0,0.00604708,0.0,0.0,0.0,0.0,0.0
-0.0010395,0.0048907,0.0,0.0025,-1.999e-07,-2.19e-08,0.0,351.3034,2.000000026702864e-10,2.000000026702864e-10,0.0,0.0,-4.158040578516875e-11
0.0020338,-0.0045677,0.05,0.0025,0.0,0.0,0.0,0.003128289,0.0,0.0,0.0,0.0,0.0
0.0020405815,-0.0045645436,0.0496573361,0.0025,-1.496e-07,3.29e-07,0.0,0.005993628,1.000000013351432e-10,0.0,1.000000013351432e-10,0.0,-9.12926409815662e-11
0.0045677,0.0020337,0.05,0.0025,0.0,0.0,0.0,0.002476072,0.0,0.0,0.0,0.0,0.0
0.0045656809,0.0020380542,0.0496574549,0.0025,-3.058e-07,-1.632e-07,0.0,0.00620423,1.000000013351432e-10,-1.000000013351432e-10,0.0,0.0,-9.131524876526687e-11
0.0045677,-0.0020337,0.0,0.0025,0.0,0.0,0.0,383.2486,0.0,0.0,0.0,0.0,0.0
0.0045656101,-0.0020382375,0.0003407161,0.0025,-0.0064546748,0.0028739025,0.0,438.4901,5.264361789159011e-06,4.815799911739305e-06,-2.126399976987159e-06,0.0,5.264318133962366e-06
0.0020338,0.0045677,0.0,0.0025,0.0,0.0,0.0,378.6822,0.0,0.0,0.0,0.0,0.0
0.0020415803,0.0045640337,0.0003411614,0.0025,-0.0028443574,-0.0063554502,0.0,418.9583,5.213735221332172e-06,2.1319999632396502e-06,4.757900114782387e-06,0.0,5.213734267981926e-06
0.0048908,0.0010395,0.0,0.0025,0.0,0.0,0.0,353.9883,0.0,0.0,0.0,0.0,0.0
0.0047553,0.001545,0.0,0.0025,-5.88e-08,1.969e-07,0.0,384.749,1.000000013351432e-10,0.0,-1.000000013351432e-10,0.0,-3.0900059420913006e-11
0.0047551,0.0015456,0.0003261584,0.0025,-0.0062073998,-0.0020107165,0.0,435.5968,5.112412509333808e-06,4.872099907515803e-06,1.5489999896090012e-06,0.0,5.112306318231022e-06
0.0048908,-0.0010395,0.05,0.0025,0.0,0.0,0.0,0.005535218,0.0,0.0,0.0,0.0,0.0
0.0047553,-0.001545,0.05,0.0025,-0.0,-0.0,0.0,0.002801752,0.0,0.0,0.0,0.0,0.0
0.0047551522,-0.0015454303,0.0496542505,0.0025,-3.116e-07,1.062e-07,0.0,0.006241361,1.000000013351432e-10,0.0,1.000000013351432e-10,0.0,-3.090871135424944e-11
0.0010395,0.0048907,0.05,0.0025,0.0,0.0,0.0,0.004678381,0.0,0.0,0.0,0.0,0.0
0.001545,0.0047553,0.05,0.0025,0.0,-0.0,0.0,0.003057146,0.0,0.0,0.0,0.0,0.0
0.0015451941,0.0047552321,0.0496591719,0.0025,-1.044e-07,-3.203e-07,0.0,0.006696461,1.000000013351432e-10,0.0,-1.000000013351432e-10,0.0,-9.51049143951832e-11
0.0010395,-0.0048907,0.0,0.0025,1.932e-07,6.86e-08,0.0,379.5902,1.000000013351432e-10,-1.000000013351432e-10,0.0,0.0,-2.0790203759946113e-11
0.001545,-0.0047553,0.0,0.0025,1.983e-07,5.78e-08,0.0,372.8886,1.000000013351432e-10,-1.000000013351432e-10,0.0,0.0,-3.0900059420913006e-11
0.0015453,-0.0047552,0.0003262385,0.0025,-0.0019683614,0.0060362969,0.0,402.5017,5.043589681008598e-06,1.5460000213352032e-06,-4.800800070370315e-06,0.0,5.043571802356046e-06
0.0020337,0.0045677,0.05,0.0025,0.0,0.0,0.0,0.001391474,0.0,0.0,0.0,0.0,0.0
0.0020337,-0.0045677,0.0,0.0025,0.0,0.0,0.0,357.4472,0.0,0.0,0.0,0.0,0.0
